earn_per_hour,age,grade92,sex,race,marital,ownchild,emp_class,uhours
15.0,57,39,1,1,1,0,"Private, For Profit",40
15.0,42,39,1,1,1,1,"Private, For Profit",40
16.36,23,39,1,1,7,0,"Private, For Profit",40
6.9,28,39,1,2,1,0,"Private, For Profit",40
14.0,51,39,1,2,1,0,"Private, For Profit",40
2.35,47,39,2,2,1,0,"Private, For Profit",8
12.15,18,39,1,1,7,0,"Private, For Profit",40
21.75,34,44,1,1,1,3,Government - Local,40
15.74,33,40,2,1,1,3,"Private, For Profit",40
4.9383333333333335,20,40,2,1,7,0,"Private, For Profit",30
13.0,34,39,1,1,5,0,Government - Federal,40
8.5,31,42,2,1,5,2,"Private, For Profit",40
42.28,56,43,2,2,7,1,Government - Federal,40
8.5,55,40,1,1,1,0,"Private, For Profit",40
12.980625000000002,29,40,1,1,7,0,"Private, For Profit",48
13.0,45,39,2,1,1,2,Government - Local,40
72.11525,45,43,1,1,1,2,Government - Local,40
7.25,16,35,2,1,7,0,"Private, Nonprofit",20
20.754716981132077,58,40,1,1,5,0,"Private, For Profit",53
10.0,32,40,1,7,7,1,"Private, For Profit",40
38.4612,38,40,2,4,1,3,"Private, Nonprofit",25
24.03825,43,40,1,1,1,3,Government - State,40
14.422999999999998,18,39,2,1,7,0,"Private, For Profit",40
14.422999999999998,19,39,1,1,7,0,"Private, For Profit",40
21.164285714285715,62,40,1,1,7,0,"Private, For Profit",84
11.0,48,39,1,1,5,0,"Private, For Profit",40
4.8075,25,41,2,1,7,2,"Private, For Profit",40
30.01,41,40,1,3,1,2,Government - Local,40
27.69225,37,44,2,1,1,2,Government - Local,40
14.4,45,39,2,1,2,2,"Private, For Profit",40
15.3846,32,43,2,1,1,2,Government - Local,50
22.3076,35,43,1,1,1,2,Government - Local,50
15.0,24,40,1,1,1,1,"Private, For Profit",40
16.82675,23,42,2,1,1,1,Government - State,40
20.19225,56,43,2,1,5,0,"Private, For Profit",40
14.42,50,39,2,1,1,0,"Private, For Profit",2
19.047619047619047,49,39,1,1,1,0,"Private, For Profit",84
20.0,22,39,1,1,7,0,"Private, For Profit",40
25.0,57,39,2,1,1,0,"Private, For Profit",40
43.269,57,39,1,1,1,0,Government - Local,40
33.65375,47,39,2,3,7,0,Government - Local,40
36.73075,42,40,2,7,7,1,"Private, Nonprofit",40
30.681818181818183,56,39,1,3,5,0,"Private, For Profit",44
33.65375,60,43,2,1,5,0,"Private, Nonprofit",40
32.05116666666667,41,39,1,1,1,2,"Private, For Profit",60
14.422999999999998,51,41,2,1,1,0,"Private, For Profit",40
22.142857142857142,59,43,2,1,4,0,"Private, Nonprofit",56
19.23071428571429,56,43,2,1,1,0,Government - State,70
12.69225,25,31,1,1,1,2,Government - State,40
36.525,59,40,1,2,7,0,Government - Local,40
11.0,56,40,2,2,7,0,Government - Local,40
18.25,43,40,2,1,5,0,Government - State,40
22.0,36,42,1,1,1,2,"Private, Nonprofit",40
15.375,28,43,1,4,1,0,"Private, For Profit",40
14.0,32,42,2,4,2,1,"Private, For Profit",40
8.1,33,37,1,8,7,0,"Private, For Profit",50
25.0,25,44,2,1,7,0,Government - State,40
19.2306,26,39,1,2,1,3,"Private, For Profit",50
23.809333333333335,33,39,2,1,1,3,Government - Local,45
11.53825,51,39,2,1,1,0,Government - State,40
12.98075,20,39,1,1,7,0,Government - State,40
41.346,44,43,1,1,3,3,Government - State,40
25.05485714285714,46,40,1,1,1,2,"Private, For Profit",35
38.4615,43,44,2,1,1,1,Government - State,40
32.89473684210526,48,44,1,1,1,1,Government - State,38
24.72,35,40,1,2,1,2,"Private, For Profit",40
24.5,35,43,2,1,1,2,"Private, For Profit",40
36.8421052631579,39,44,2,1,7,0,Government - State,38
15.0,53,39,1,1,3,0,"Private, For Profit",25
25.166666666666668,48,39,1,1,1,1,"Private, For Profit",42
25.0,28,44,2,1,7,0,Government - State,40
34.6,29,44,2,1,1,0,"Private, For Profit",50
17.0,30,43,1,1,1,0,"Private, For Profit",40
11.5,30,40,2,1,6,3,"Private, For Profit",40
9.89,26,39,1,1,1,1,"Private, For Profit",70
12.237636363636364,25,43,2,1,1,1,Government - Local,55
35.325,56,43,2,1,5,0,"Private, Nonprofit",40
17.0,62,46,2,4,1,0,Government - State,40
15.0,35,39,1,4,7,0,"Private, For Profit",35
18.630000000000003,62,39,1,4,5,0,Government - State,40
36.0,44,43,2,4,1,1,"Private, For Profit",38
22.32,61,39,2,4,5,0,Government - Local,38
10.769,59,39,1,4,3,0,"Private, For Profit",30
10.77,32,39,1,4,3,0,"Private, For Profit",40
7.6,63,40,1,1,1,0,"Private, For Profit",25
17.5,26,42,1,1,1,0,"Private, For Profit",40
22.22222222222222,26,43,2,1,1,0,Government - Federal,36
9.0,33,38,1,4,7,0,"Private, For Profit",40
14.22,20,39,1,1,7,0,"Private, For Profit",50
19.675,32,39,1,4,7,0,"Private, For Profit",40
