date,p_MSFT,p_SP500,pct_msft,pct_sp500,p_AAPL,pct_aapl,riskfree_annual_pct,riskfree_monthly_pct
1998-01-30,18.648438,980.280029,15.425535009671163,1.0150176798997546,0.654018,39.52384,5.04,0.42
1998-02-27,21.1875,1049.339966,13.615413794978435,7.044919304379715,0.84375,29.01021072814509,5.09,0.42416666666666664
1998-03-31,22.375,1101.75,5.604719764011801,4.9945714161429455,0.982143,16.402133333333335,5.03,0.4191666666666667
1998-04-30,22.53125,1111.75,0.6983240223463749,0.9076469253460396,0.977679,-0.4545162975249095,4.95,0.41250000000000003
1998-05-29,21.203125,1090.819946,-5.894590846047154,-1.8826223521475116,0.950893,-2.7397540501534756,5.0,0.4166666666666667
1998-06-30,27.09375,1133.839966,27.78187177597642,3.9438241075214098,1.024554,7.746507756393206,4.98,0.41500000000000004
1998-07-31,27.484375,1120.670044,1.4417531718569745,-1.161532702578949,1.236607,20.697103324958952,4.96,0.41333333333333333
1998-08-31,23.984375,957.280029,-12.734508243320064,-14.57967185567065,1.113839,-9.92781053317666,4.9,0.4083333333333334
1998-09-30,27.515625,1017.01001,14.723127035830627,6.239551561771894,1.361607,22.24450750961315,4.61,0.3841666666666667
1998-10-30,26.46875,1098.670044,-3.804656445201593,8.029422837244237,1.325893,-2.622930111258248,3.96,0.33
1998-11-30,30.5,1163.630005,15.230224321133411,5.912599633962534,1.140625,-13.973073241958431,4.41,0.3675
1998-12-31,34.671875,1229.22998,13.678278688524582,5.637528657573587,1.462054,28.180076712328763,4.39,0.3658333333333333
1999-01-29,43.75,1279.640015,26.182965299684536,4.1009441536725255,1.470982,0.6106477599322702,4.34,0.36166666666666664
1999-02-26,37.53125,1238.329956,-14.214285714285712,-3.2282562686194116,1.243304,-15.477959621531744,4.44,0.37000000000000005
1999-03-31,44.8125,1286.369995,19.400499583680265,3.8794215360158817,1.283482,3.23155077117101,4.44,0.37000000000000005
1999-04-30,40.65625,1335.180054,-9.274755927475598,3.794402791554541,1.642857,28.000003116522088,4.29,0.3575
1999-05-28,40.34375,1301.839966,-0.768639508070712,-2.497048087268683,1.573661,-4.211930801037466,4.5,0.375
1999-06-30,45.09375,1372.709961,11.773818745158792,5.443833101679418,1.654018,5.106372973594686,4.57,0.38083333333333336
1999-07-30,42.90625,1328.719971,-4.851004851004848,-3.204609221889376,1.988839,20.242887320452382,4.55,0.37916666666666665
